DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0071840,BP,e,cellular component organization or biogenesis,122/366,236/953,2.25e-06,2,122,0.0005,"ACOT13, ALDH5A1, APOM, ARID1B, ASCC3, ASF1A, ATG5, ATP6V1G2, BAG6, BLOC1S5, CD2AP, CENPQ, COL12A1, COL19A1, CSNK2B, DDX39B, DEK, DOPEY1, DST, DYNLT1, EDN1, EHMT2, FBXO5, FGD2, FGFR1OP, FOXC1, FOXF2, GCLC, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, HSP90AB1, KIAA1009, KIF13A, L3MBTL3, LATS1, MDN1, ME1, MSH5, MTRF1L, MYB, MYO6, NDUFAF4, NEDD9, NUP153, OOEP, PHIP, PLN, PTPRK, RAB32, RANBP9, RPS12, SHPRH, SIRT5, SNX9, SOD2, TCP1, TMEM30A, TNFAIP3, TNXB, TREM2, TRIM27, TSPYL1, TSPYL4, TTK, TUBE1, VEGFA, ZKSCAN3"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0045652,BP,e,regulation of megakaryocyte differentiation,11/366,11/953,2.44e-05,8,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0032200,BP,e,telomere organization         ,11/366,11/953,2.44e-05,6,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0000723,BP,e,telomere maintenance          ,11/366,11/953,2.44e-05,7,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0045653,BP,e,negative regulation of megakaryocyte differentiation,11/366,11/953,2.44e-05,9,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0034080,BP,e,CENP-A containing chromatin assembly,12/366,13/953,7.81e-05,7,12,0.0122,"CENPQ, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0031055,BP,e,chromatin remodeling at centromere,12/366,13/953,7.81e-05,6,12,0.0122,"CENPQ, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0051276,BP,e,chromosome organization       ,15/366,18/953,0.000109,5,15,0.0162,"ASCC3, BAG6, EHMT2, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, LATS1"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0045638,BP,e,negative regulation of myeloid cell differentiation,11/366,12/953,0.000192,8,11,0.0278,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0044815,CC,e,DNA packaging complex         ,55/366,57/953,6.55e-22,2,55,8.17e-19,"HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, IRF4, SHPRH"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0032993,CC,e,protein-DNA complex           ,55/366,57/953,6.55e-22,2,55,8.17e-19,"HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, IRF4, SHPRH"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0000786,CC,e,nucleosome                    ,55/366,57/953,6.55e-22,3,55,8.17e-19,"HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, IRF4, SHPRH"
Blood cell pcHi-C,bases deg 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0043227,CC,e,membrane-bounded organelle    ,227/366,474/953,2.69e-09,3,227,9.3e-07,"ABT1, ACAT2, ACOT13, AKIRIN2, ALDH5A1, ANKRD6, ARID1B, ASCC3, ASF1A, ATF6B, ATG5, ATP6V1G2, BACH2, BAG6, BCKDHB, BLOC1S5, BLOC1S5-TXNDC5, BYSL, C6orf25, C6orf57, CAPN11, CCND3, CD2AP, CDKAL1, CLIC1, COL12A1, COX7A2, CRISP3, CSNK2B, CYB5R4, DDAH2, DDX39B, DEK, DSE, DST, DUSP22, DYNLT1, EEF1A1, EEF1E1-BLOC1S5, EFHC1, EHMT2, ELOVL4, ELOVL5, FAM65B, FBXO5, FGD2, FGFR1OP, FKBP5, FOXC1, FOXF2, GCM1, GMNN, GPLD1, HDDC2, HEY2, HFE, HINT3, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HIVEP1, HIVEP2, HLA-DOB, HLA-DRA, HMGN3, HMGN4, HSF2, HSP90AB1, HSPA1A, HSPA1B, HSPA1L, IBTK, ICK, IFNGR1, IGF2R, IRF4, KDM1B, KHDRBS2, KIAA0319, KIAA1009, KPNA5, L3MBTL3, LCA5, LSM2, LYRM2, MAN1A1, MANEA, MARCKS, MCM3, MCM9, MDN1, ME1, MPC1, MRPL18, MRPS18A, MTO1, MTRF1L, MUT, MYB, MYO6, NCOA7, NDUFAF4, NEDD9, NELFE, NEU1, NFKBIL1, NFYA, NHLRC1, NQO2, NT5E, PACRG, PAK1IP1, PHF3, PHIP, PIM1, PLN, PNRC1, POU3F2, PPARD, PPIL4, PRDM1, PRICKLE4, PRRC2A, PRSS35, PSMB9, PTP4A1, QKI, RAB32, RANBP9, RARS2, REV3L, RIPPLY2, RMND1, RNASET2, RNF146, RNF182, RNGTT, RPF2, RRAGD, SENP6, SERPINB9, SESN1, SGK1, SHPRH, SIM1, SIRT5, SLC17A5, SLC35B3, SNRNP48, SNX9, SOD2, SOX4, SUMO4, SYCP2L, SYNCRIP, TAF8, TAP1, TAP2, TBC1D32, TBC1D7, TCP1, TDP2, TFB1M, TMEM30A, TNFAIP3, TOMM6, TRAPPC3L, TRIM27, TSPYL1, TSPYL4, UFL1, UST, VEGFA, WTAP, ZBTB2, ZC3H12D, ZKSCAN3, ZKSCAN4, ZKSCAN8, ZNF184, ZNF292, ZNF311, ZNF451, ZSCAN12, ZSCAN16, ZSCAN31, ZSCAN9"
