DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0034728,BP,e,nucleosome organization       ,58/366,62/953,4.15e-21,6,58,3.7e-18,"ASF1A, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0006338,BP,e,chromatin remodeling          ,61/366,69/953,4.89e-19,5,61,3.81e-16,"ARID1B, ASF1A, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, MYB, SHPRH, SIRT5, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0006325,BP,e,chromatin organization        ,65/366,77/953,5.78e-18,4,65,4e-15,"ARID1B, ASF1A, BAG6, CENPQ, DEK, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, L3MBTL3, MYB, SHPRH, SIRT5, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0065003,BP,e,protein-containing complex assembly,81/366,112/953,1.07e-14,5,81,6.68e-12,"ACOT13, ALDH5A1, APOM, ASF1A, CD2AP, CENPQ, CSNK2B, DDX39B, FBXO5, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, MDN1, ME1, NDUFAF4, NUP153, OOEP, PLN, RANBP9, SHPRH, SNX9, SOD2, TCP1, TNFAIP3, TRIM27, TSPYL1, TSPYL4, TUBE1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0043933,BP,e,protein-containing complex organization,83/366,119/953,1.57e-13,4,83,8.88e-11,"ACOT13, ALDH5A1, APOM, ASF1A, CD2AP, CENPQ, CSNK2B, DDX39B, FBXO5, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, MDN1, ME1, MTRF1L, NDUFAF4, NUP153, OOEP, PLN, RANBP9, RPS12, SHPRH, SNX9, SOD2, TCP1, TNFAIP3, TRIM27, TSPYL1, TSPYL4, TUBE1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0022607,BP,e,cellular component assembly   ,92/366,140/953,1.99e-12,4,92,8.87e-10,"ACOT13, ALDH5A1, APOM, ASF1A, ATG5, BAG6, CD2AP, CENPQ, CSNK2B, DDX39B, DST, EHMT2, FBXO5, FGD2, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, KIAA1009, MDN1, ME1, MSH5, MYO6, NDUFAF4, NEDD9, NUP153, OOEP, PLN, PTPRK, RANBP9, SHPRH, SNX9, SOD2, TCP1, TNFAIP3, TNXB, TRIM27, TSPYL1, TSPYL4, TUBE1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0016043,BP,e,cellular component organization,122/366,234/953,9.76e-07,3,122,0.000254,"ACOT13, ALDH5A1, APOM, ARID1B, ASCC3, ASF1A, ATG5, ATP6V1G2, BAG6, BLOC1S5, CD2AP, CENPQ, COL12A1, COL19A1, CSNK2B, DDX39B, DEK, DOPEY1, DST, DYNLT1, EDN1, EHMT2, FBXO5, FGD2, FGFR1OP, FOXC1, FOXF2, GCLC, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, HSP90AB1, KIAA1009, KIF13A, L3MBTL3, LATS1, MDN1, ME1, MSH5, MTRF1L, MYB, MYO6, NDUFAF4, NEDD9, NUP153, OOEP, PHIP, PLN, PTPRK, RAB32, RANBP9, RPS12, SHPRH, SIRT5, SNX9, SOD2, TCP1, TMEM30A, TNFAIP3, TNXB, TREM2, TRIM27, TSPYL1, TSPYL4, TTK, TUBE1, VEGFA, ZKSCAN3"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0071840,BP,e,cellular component organization or biogenesis,122/366,236/953,2.25e-06,2,122,0.0005,"ACOT13, ALDH5A1, APOM, ARID1B, ASCC3, ASF1A, ATG5, ATP6V1G2, BAG6, BLOC1S5, CD2AP, CENPQ, COL12A1, COL19A1, CSNK2B, DDX39B, DEK, DOPEY1, DST, DYNLT1, EDN1, EHMT2, FBXO5, FGD2, FGFR1OP, FOXC1, FOXF2, GCLC, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, HSP90AB1, KIAA1009, KIF13A, L3MBTL3, LATS1, MDN1, ME1, MSH5, MTRF1L, MYB, MYO6, NDUFAF4, NEDD9, NUP153, OOEP, PHIP, PLN, PTPRK, RAB32, RANBP9, RPS12, SHPRH, SIRT5, SNX9, SOD2, TCP1, TMEM30A, TNFAIP3, TNXB, TREM2, TRIM27, TSPYL1, TSPYL4, TTK, TUBE1, VEGFA, ZKSCAN3"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0032200,BP,e,telomere organization         ,11/366,11/953,2.44e-05,6,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0045652,BP,e,regulation of megakaryocyte differentiation,11/366,11/953,2.44e-05,8,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0000723,BP,e,telomere maintenance          ,11/366,11/953,2.44e-05,7,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0045653,BP,e,negative regulation of megakaryocyte differentiation,11/366,11/953,2.44e-05,9,11,0.00435,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0031055,BP,e,chromatin remodeling at centromere,12/366,13/953,7.81e-05,6,12,0.0122,"CENPQ, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0034080,BP,e,CENP-A containing chromatin assembly,12/366,13/953,7.81e-05,7,12,0.0122,"CENPQ, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0051276,BP,e,chromosome organization       ,15/366,18/953,0.000109,5,15,0.0162,"ASCC3, BAG6, EHMT2, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, LATS1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0045638,BP,e,negative regulation of myeloid cell differentiation,11/366,12/953,0.000192,8,11,0.0278,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0000786,CC,e,nucleosome                    ,55/366,57/953,6.55e-22,3,55,8.17e-19,"HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, IRF4, SHPRH"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 1+ tissue,chr6,GO:0044815,CC,e,DNA packaging complex         ,55/366,57/953,6.55e-22,2,55,8.17e-19,"HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, IRF4, SHPRH"
