DS,What,chr,GO,NS,enrichment,name,ratio_in_study,ratio_in_pop,p_uncorrected,depth,study_count,p_fdr_bh,study_items
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr5,GO:0005509,MF,e,calcium ion binding           ,49/255,86/779,1.21e-06,5,49,0.0015,"CETN3, EFCAB9, F12, GPR98, MCC, PAM, PCDH1, PCDH12, PCDHA1, PCDHA10, PCDHA2, PCDHA3, PCDHA4, PCDHA5, PCDHA6, PCDHA7, PCDHA8, PCDHA9, PCDHB1, PCDHB10, PCDHB11, PCDHB14, PCDHB15, PCDHB16, PCDHB17, PCDHB2, PCDHB3, PCDHB5, PCDHB6, PCDHB7, PCDHB8, PCDHGA1, PCDHGA10, PCDHGA11, PCDHGA2, PCDHGA3, PCDHGA4, PCDHGA5, PCDHGA6, PCDHGA7, PCDHGA8, PCDHGA9, PCDHGB1, PCDHGB2, PCDHGB3, PCDHGB4, PCDHGB6, PCDHGB7, VCAN"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0065004,BP,e,protein-DNA complex assembly  ,59/287,62/921,2.23e-28,6,59,1.36e-24,"ASF1A, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0006334,BP,e,nucleosome assembly           ,58/287,61/921,7.96e-28,7,58,2.44e-24,"ASF1A, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0071824,BP,e,protein-DNA complex subunit organization,59/287,63/921,2.59e-27,5,59,2.65e-24,"ASF1A, CENPQ, HEY2, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0034728,BP,e,nucleosome organization       ,58/287,62/921,9.11e-27,6,58,7.97e-24,"ASF1A, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0006338,BP,e,chromatin remodeling          ,60/287,69/921,1.44e-23,5,60,1.11e-20,"ARID1B, ASF1A, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, SHPRH, SIRT5, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0006325,BP,e,chromatin organization        ,63/287,76/921,2.18e-22,4,63,1.48e-19,"ARID1B, ASF1A, BAG6, CENPQ, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, L3MBTL3, SHPRH, SIRT5, TSPYL1, TSPYL4"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0065003,BP,e,protein-containing complex assembly,75/287,110/921,1.68e-17,5,75,1.03e-14,"ACOT13, APOM, ASF1A, CD2AP, CENPQ, CSNK2B, DDX39B, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, MDN1, ME1, NDUFAF4, NUP153, PLN, RANBP9, SHPRH, TNFAIP3, TRIM27, TSPYL1, TSPYL4, TUBE1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0022607,BP,e,cellular component assembly   ,86/287,138/921,2.44e-16,4,86,1.36e-13,"ACOT13, APOM, ASF1A, ATG5, BAG6, CD2AP, CENPQ, CSNK2B, DDX39B, DST, EHMT2, FGD2, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, KIAA1009, MDN1, ME1, MSH5, MYO6, NDUFAF4, NEDD9, NUP153, PLN, PTPRK, RANBP9, SHPRH, TNFAIP3, TNXB, TRIM27, TSPYL1, TSPYL4, TUBE1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0043933,BP,e,protein-containing complex organization,76/287,117/921,7.13e-16,4,76,3.64e-13,"ACOT13, APOM, ASF1A, CD2AP, CENPQ, CSNK2B, DDX39B, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, MDN1, ME1, NDUFAF4, NUP153, PLN, RANBP9, RPS12, SHPRH, TNFAIP3, TRIM27, TSPYL1, TSPYL4, TUBE1"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0016043,BP,e,cellular component organization,106/287,229/921,2.73e-08,3,106,6.97e-06,"ACOT13, APOM, ARID1B, ASF1A, ATG5, ATP6V1G2, BAG6, BLOC1S5, CD2AP, CENPQ, COL12A1, CSNK2B, DDX39B, DOPEY1, DST, DYNLT1, EHMT2, FGD2, FGFR1OP, FOXC1, FOXF2, GCLC, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, KIAA1009, KIF13A, L3MBTL3, MDN1, ME1, MSH5, MYO6, NDUFAF4, NEDD9, NUP153, PHIP, PLN, PTPRK, RAB32, RANBP9, RPS12, SHPRH, SIRT5, TMEM30A, TNFAIP3, TNXB, TRIM27, TSPYL1, TSPYL4, TTK, TUBE1, ZKSCAN3"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0071840,BP,e,cellular component organization or biogenesis,106/287,231/921,4.95e-08,2,106,1.21e-05,"ACOT13, APOM, ARID1B, ASF1A, ATG5, ATP6V1G2, BAG6, BLOC1S5, CD2AP, CENPQ, COL12A1, CSNK2B, DDX39B, DOPEY1, DST, DYNLT1, EHMT2, FGD2, FGFR1OP, FOXC1, FOXF2, GCLC, GMNN, HEY2, HFE, HIST1H1A, HIST1H1B, HIST1H1C, HIST1H1D, HIST1H1E, HIST1H1T, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HMGN3, KIAA1009, KIF13A, L3MBTL3, MDN1, ME1, MSH5, MYO6, NDUFAF4, NEDD9, NUP153, PHIP, PLN, PTPRK, RAB32, RANBP9, RPS12, SHPRH, SIRT5, TMEM30A, TNFAIP3, TNXB, TRIM27, TSPYL1, TSPYL4, TTK, TUBE1, ZKSCAN3"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0032200,BP,e,telomere organization         ,11/287,11/921,2.35e-06,6,11,0.000401,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
Blood cell pcHi-C,DegSupport 15 (log link count) vs Links w/ 2+ tissue,chr6,GO:0045652,BP,e,regulation of megakaryocyte differentiation,11/287,11/921,2.35e-06,8,11,0.000401,"HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L"
